0000	<control> null
0001	<control> start of heading
0002	<control> start of text
0003	<control> end of text
0004	<control> end of transmission
0005	<control> enquiry
0006	<control> acknowledge
0007	<control> bell
0008	<control> backspace
0009	<control> character tabulation
000a	<control>
000b	<control>
000c	<control>
000d	<control>
000e	<control>
000f	<control> shift in
0010	<control> data link escape
0011	<control> device control one
0012	<control> device control two
0013	<control> device control three
0014	<control> device control four
0015	<control> negative acknowledge
0016	<control> synchronous idle
0017	<control> end of transmission block
0018	<control> cancel
0019	<control> end of medium
001a	<control>
001b	<control>
001c	<control>
001d	<control>
001e	<control>
001f	<control> information separator one
0020	space
0021	exclamation mark
0022	quotation mark
0023	number sign
0024	dollar sign
0025	percent sign
0026	ampersand
0027	apostrophe
0028	left parenthesis
0029	right parenthesis
002a	asterisk
002b	plus sign
002c	comma
002d	hyphen-minus
002e	full stop
002f	solidus
0030	digit zero
0031	digit one
0032	digit two
0033	digit three
0034	digit four
0035	digit five
0036	digit six
0037	digit seven
0038	digit eight
0039	digit nine
003a	colon
003b	semicolon
003c	less-than sign
003d	equals sign
003e	greater-than sign
003f	question mark
0040	commercial at
0041	latin capital letter a
0042	latin capital letter b
0043	latin capital letter c
0044	latin capital letter d
0045	latin capital letter e
0046	latin capital letter f
0047	latin capital letter g
0048	latin capital letter h
0049	latin capital letter i
004a	latin capital letter j
004b	latin capital letter k
004c	latin capital letter l
004d	latin capital letter m
004e	latin capital letter n
004f	latin capital letter o
0050	latin capital letter p
0051	latin capital letter q
0052	latin capital letter r
0053	latin capital letter s
0054	latin capital letter t
0055	latin capital letter u
0056	latin capital letter v
0057	latin capital letter w
0058	latin capital letter x
0059	latin capital letter y
005a	latin capital letter z
005b	left square bracket
005c	reverse solidus
005d	right square bracket
005e	circumflex accent
005f	low line
0060	grave accent
0061	latin small letter a
0062	latin small letter b
0063	latin small letter c
0064	latin small letter d
0065	latin small letter e
0066	latin small letter f
0067	latin small letter g
0068	latin small letter h
0069	latin small letter i
006a	latin small letter j
006b	latin small letter k
006c	latin small letter l
006d	latin small letter m
006e	latin small letter n
006f	latin small letter o
0070	latin small letter p
0071	latin small letter q
0072	latin small letter r
0073	latin small letter s
0074	latin small letter t
0075	latin small letter u
0076	latin small letter v
0077	latin small letter w
0078	latin small letter x
0079	latin small letter y
007a	latin small letter z
007b	left curly bracket
007c	vertical line
007d	right curly bracket
007e	tilde
007f	<control> delete
0080	<control> 
0081	<control> 
0082	<control> break permitted here
0083	<control> no break here
0084	<control> 
0085	<control> next line (nel)
0086	<control> start of selected area
0087	<control> end of selected area
0088	<control> character tabulation set
